0,-1006.66,-9685.03,10104.2
1,895.074,-333.865,673.718
2,-394.674,-2075.26,2225.45
3,918.233,-840.678,2247.42
4,1420.99,229.76,1682.24
5,300.866,-416.951,667.882
6,808.792,-1337.33,2542.26
7,2579.02,8006.19,17993.3
8,790.542,-756.521,1323.69
9,822.271,144.813,529.81
10,264.051,-384.154,483.559
11,767.345,66.6076,334.879
12,1046.93,220.735,1661.26
13,268.611,944.312,440.981
14,262.103,714.747,665.544
15,665.456,703.383,590.349
16,767.174,359.568,322.205
17,108.577,358.127,761.979
18,1105.52,1810.97,1578.89
19,795.483,105.957,515.189
20,1514.98,1346.07,3023.33
21,556.123,-249.035,459.277
22,733.268,642.526,699.045
23,834.199,-392.228,956.572
24,-2301.06,-9219.94,20570.4
25,434.032,439.046,491.922
26,1288.13,-337.099,1106.34
27,808.173,850.968,560.617
28,1066.01,-1420.91,872.322
29,816.415,-13.8603,691.977
30,1081.52,-749.21,2718.65
31,6495.05,-20274.2,20251.9
32,646.196,123.002,398.809
33,870.166,215.668,600.844
34,229.043,-248.132,421.828
35,300.203,1627.7,1042.67
36,405.112,-92.0332,768.639
37,159.204,-276.207,506.531
38,561.277,107.802,421.371
39,293.776,399.863,463.903
40,778.68,-302.513,914.371
41,1095.81,1219.62,977.324
42,1556.6,-1952.02,2119.08
43,672.061,-143.223,388.148
44,1790.02,-408.131,3907.97
45,733.187,-524.79,1080.25
46,465.132,-162.865,423.951
47,-54.1316,-1340.5,1446.91
48,1301.9,-2570.91,3233.13
49,724.795,178.632,711.365
50,1648.69,-1233.84,4145.1
51,166.415,-274.755,727.83
52,719.002,-8.35829,496.668
53,1219.26,920.304,1047.28
54,-10629.5,21516.3,21090.2
55,682.479,-45.1946,480.829
56,666.511,224.455,395.367
57,775.496,105.199,311.319
58,327.14,236.505,363.023
59,868.982,402.551,484.191
60,177.635,965.677,1008.77
61,-92.5142,-812.385,1039.7
62,2544.67,-1714.54,3046.2
63,368.105,-482.543,1023.58
64,365.56,711.799,832.399
65,370.234,-17.6123,360.385
66,658.982,283,586.426
67,747.33,-26.1821,549.639
68,591.911,282.981,412.537
69,1075.02,2236.71,2539.41
70,1064.81,1253.55,898.116
71,-1129.22,1284.27,3619.66
72,152.028,-570.54,2005.55
73,966.896,-1370.51,1642.61
74,841.002,478.072,601.955
75,-27.0263,-479.434,919.998
76,227.424,-1760.97,1976.25
77,777.437,-168.341,529.356
78,778.064,566.633,505.443
79,680.012,563.906,362.334
80,963.98,690.61,859.981
81,618.969,82.9691,508.195
82,333.423,186.692,357.828
83,122.977,-2700.62,2745.86
84,260.441,168.994,422.052
85,1640.28,209.753,1734.94
86,199.444,539.305,366.732
87,833.124,982.611,729.327
88,740.913,693.562,594.39
89,508.337,471.34,281.433
90,517.944,165.915,436.676
91,331.379,-278.375,589.894
92,378.971,-204.601,468.77
93,415.698,315.167,373.804
94,-547.175,-2704.43,2027.51
95,291.673,331.22,775.341
96,645.918,-112.902,477.299
97,201.87,-517.484,654.066
98,-479.429,1163.27,1716.08
99,2037.61,25.3915,3213.4
